City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Marzuq,YE,14.4,46.4667,81.66,50,62,4.27,broken clouds
232,San Isidro,PE,-12.1167,-77.05,62.19,72,75,12.66,broken clouds
233,Lompoc,US,34.6391,-120.4579,86.77,65,0,13.8,clear sky
234,La Ronge,CA,55.1001,-105.2842,71.82,40,75,13.8,broken clouds
235,Melfort,CA,52.8667,-104.6177,71.73,40,1,14.97,clear sky
236,Lebu,CL,-37.6167,-73.65,53.33,75,100,3.29,overcast clouds
237,Lorengau,PG,-2.0226,147.2712,81.73,77,100,9.26,overcast clouds
238,Salalah,OM,17.0151,54.0924,77.09,94,75,8.05,broken clouds
239,Fortuna,US,40.5982,-124.1573,72.93,73,0,13.8,clear sky
240,Victoria,HK,22.2855,114.1577,83.17,85,2,3.0,clear sky
241,Nanortalik,GL,60.1432,-45.2371,40.05,90,98,11.7,overcast clouds
242,Russell,US,32.3502,-85.1999,90.68,55,0,0.0,clear sky
243,Beringovskiy,RU,63.05,179.3167,49.57,97,100,15.68,light rain
244,Saint-Malo,FR,48.5,-1.8333,73.06,72,58,12.55,broken clouds
245,Shima,CN,24.4478,117.8111,82.42,93,4,2.42,clear sky
246,Morant Bay,JM,17.8815,-76.4093,80.71,75,100,8.95,overcast clouds
247,Xuddur,SO,4.1213,43.8894,71.08,73,69,17.07,broken clouds
248,Saint Anthony,US,45.0205,-93.218,79.83,49,20,18.41,few clouds
249,Avera,US,33.194,-82.5271,85.37,65,80,8.88,moderate rain
250,Morondava,MG,-20.2833,44.2833,72.07,59,5,11.07,clear sky
251,Samoded,RU,63.6083,40.5111,49.55,85,100,6.4,overcast clouds
252,Primorsk,UA,46.7348,36.3443,76.14,41,0,6.46,clear sky
253,Bagdarin,RU,54.4333,113.6,34.81,72,82,2.84,broken clouds
254,Carora,VE,10.1755,-70.0827,77.13,72,100,5.93,overcast clouds
255,Lazaro Cardenas,MX,17.9583,-102.2,84.51,68,94,7.67,overcast clouds
256,Ostrovnoy,RU,68.0531,39.5131,48.06,86,77,26.96,light rain
257,Grajewo,PL,53.6473,22.4554,58.17,86,2,8.1,clear sky
258,Ussel,FR,45.55,2.3167,64.85,58,87,2.91,overcast clouds
259,Gus-Zheleznyy,RU,55.0581,41.1656,66.38,44,61,4.54,broken clouds
260,Klaksvik,FO,62.2266,-6.589,50.92,85,36,13.29,scattered clouds
261,Carutapera,BR,-1.195,-46.02,79.59,76,57,9.82,broken clouds
262,Pandan Niog,PH,6.2282,120.5631,81.07,79,99,11.9,light rain
263,Marsa Matruh,EG,31.3525,27.2453,78.89,77,0,7.52,clear sky
264,Padang,ID,-0.9492,100.3543,73.44,94,100,5.06,heavy intensity rain
265,Leningradskiy,RU,69.3833,178.4167,35.64,91,100,3.6,overcast clouds
266,Kirakira,SB,-10.4544,161.9205,79.99,83,54,9.95,broken clouds
267,Kendari,ID,-3.945,122.4989,73.53,95,65,2.13,broken clouds
268,Marawi,PH,7.9986,124.2928,67.77,93,91,2.17,overcast clouds
269,Ushtobe,KZ,45.2514,77.9838,62.49,28,94,3.27,overcast clouds
270,Vanimo,PG,-2.6741,141.3028,76.44,88,100,5.26,overcast clouds
271,Evensk,RU,61.95,159.2333,51.06,91,100,5.77,light rain
272,Saint-Francois,FR,46.4154,3.9054,72.68,68,0,0.0,clear sky
273,Antequera,ES,37.0194,-4.5612,74.95,60,1,7.36,clear sky
274,Batagay-Alyta,RU,67.8006,130.4114,44.67,77,100,1.95,overcast clouds
275,Dunedin,NZ,-45.8742,170.5036,48.79,79,28,2.73,scattered clouds
276,Saint-Joseph,RE,-21.3667,55.6167,68.38,80,64,2.95,light rain
277,San Patricio,US,28.017,-97.5169,88.54,59,95,16.69,overcast clouds
278,Teya,RU,60.3778,92.6267,34.38,90,81,5.73,broken clouds
279,Quatre Cocos,MU,-20.2078,57.7625,68.11,81,20,7.96,few clouds
280,Biloela,AU,-24.4167,150.5,60.35,78,87,2.26,overcast clouds
